"","Metric","Type","Value","model","num_clust"
"1","elpd_loo","Estimate",-936.355712548612,"SST",3
"2","elpd_loo","SE",14.3502418900395,"SST",3
"3","p_loo","Estimate",83.8895174244966,"SST",3
"4","p_loo","SE",5.73166960457456,"SST",3
"5","looic","Estimate",1872.71142509722,"SST",3
"6","looic","SE",28.700483780079,"SST",3
"7","elpd_loo","Estimate",-928.194741819802,"SST",4
"8","elpd_loo","SE",12.4410588025583,"SST",4
"9","p_loo","Estimate",68.5604209284373,"SST",4
"10","p_loo","SE",2.10336549521738,"SST",4
"11","looic","Estimate",1856.3894836396,"SST",4
"12","looic","SE",24.8821176051167,"SST",4
"13","elpd_loo","Estimate",-914.895975466807,"SST",5
"14","elpd_loo","SE",13.6134349747093,"SST",5
"15","p_loo","Estimate",74.467209416823,"SST",5
"16","p_loo","SE",2.11325903154535,"SST",5
"17","looic","Estimate",1829.79195093361,"SST",5
"18","looic","SE",27.2268699494187,"SST",5
"19","elpd_loo","Estimate",-913.85952036236,"SST",6
"20","elpd_loo","SE",14.3532568727328,"SST",6
"21","p_loo","Estimate",92.6699282225799,"SST",6
"22","p_loo","SE",3.44795939924302,"SST",6
"23","looic","Estimate",1827.71904072472,"SST",6
"24","looic","SE",28.7065137454655,"SST",6
"25","elpd_loo","Estimate",-926.24057002582,"SST",7
"26","elpd_loo","SE",12.3673747528169,"SST",7
"27","p_loo","Estimate",64.330191743475,"SST",7
"28","p_loo","SE",1.99671467930906,"SST",7
"29","looic","Estimate",1852.48114005164,"SST",7
"30","looic","SE",24.7347495056337,"SST",7
"31","elpd_loo","Estimate",-918.080581263671,"Simple",3
"32","elpd_loo","SE",13.5891455345473,"Simple",3
"33","p_loo","Estimate",65.5861344533984,"Simple",3
"34","p_loo","SE",2.16476708026329,"Simple",3
"35","looic","Estimate",1836.16116252734,"Simple",3
"36","looic","SE",27.1782910690946,"Simple",3
"37","elpd_loo","Estimate",-914.836068919343,"Simple",4
"38","elpd_loo","SE",13.7395778002668,"Simple",4
"39","p_loo","Estimate",94.4554932954271,"Simple",4
"40","p_loo","SE",2.7929515698161,"Simple",4
"41","looic","Estimate",1829.67213783869,"Simple",4
"42","looic","SE",27.4791556005335,"Simple",4
"43","elpd_loo","Estimate",-914.259334028406,"Simple",5
"44","elpd_loo","SE",13.7183042718755,"Simple",5
"45","p_loo","Estimate",118.380999125483,"Simple",5
"46","p_loo","SE",3.120568671005,"Simple",5
"47","looic","Estimate",1828.51866805681,"Simple",5
"48","looic","SE",27.436608543751,"Simple",5
"49","elpd_loo","Estimate",-899.602606695295,"Simple",6
"50","elpd_loo","SE",14.0599204940849,"Simple",6
"51","p_loo","Estimate",145.728037934994,"Simple",6
"52","p_loo","SE",4.56792558661022,"Simple",6
"53","looic","Estimate",1799.20521339059,"Simple",6
"54","looic","SE",28.1198409881697,"Simple",6
"55","elpd_loo","Estimate",-873.255731189651,"Simple",7
"56","elpd_loo","SE",15.0873426257304,"Simple",7
"57","p_loo","Estimate",142.552207904336,"Simple",7
"58","p_loo","SE",5.61764488702424,"Simple",7
"59","looic","Estimate",1746.5114623793,"Simple",7
"60","looic","SE",30.1746852514608,"Simple",7
"61","elpd_loo","Estimate",-917.010618422404,"WST",3
"62","elpd_loo","SE",13.663841830708,"WST",3
"63","p_loo","Estimate",65.7545208146842,"WST",3
"64","p_loo","SE",2.19472689984392,"WST",3
"65","looic","Estimate",1834.02123684481,"WST",3
"66","looic","SE",27.327683661416,"WST",3
"67","elpd_loo","Estimate",-914.339186711978,"WST",4
"68","elpd_loo","SE",13.8276231054659,"WST",4
"69","p_loo","Estimate",91.0900070660101,"WST",4
"70","p_loo","SE",2.68163148931736,"WST",4
"71","looic","Estimate",1828.67837342396,"WST",4
"72","looic","SE",27.6552462109318,"WST",4
"73","elpd_loo","Estimate",-911.640674512821,"WST",5
"74","elpd_loo","SE",13.9696215651674,"WST",5
"75","p_loo","Estimate",111.209202284719,"WST",5
"76","p_loo","SE",2.89063096225295,"WST",5
"77","looic","Estimate",1823.28134902564,"WST",5
"78","looic","SE",27.9392431303348,"WST",5
"79","elpd_loo","Estimate",-901.112279806933,"WST",6
"80","elpd_loo","SE",14.0671891181884,"WST",6
"81","p_loo","Estimate",131.777213797966,"WST",6
"82","p_loo","SE",3.50715079440428,"WST",6
"83","looic","Estimate",1802.22455961387,"WST",6
"84","looic","SE",28.1343782363768,"WST",6
"85","elpd_loo","Estimate",-885.040980702406,"WST",7
"86","elpd_loo","SE",14.6155610348093,"WST",7
"87","p_loo","Estimate",136.251977203323,"WST",7
"88","p_loo","SE",4.26749630302244,"WST",7
"89","looic","Estimate",1770.08196140481,"WST",7
"90","looic","SE",29.2311220696187,"WST",7
